AperName Detector ColCorner RowCorner Ncols Nrows
NRCA5_GRISM256_F277W A5 1 380 2048 256
NRCA5_GRISM128_F277W A5 1 444 2048 128
NRCA5_GRISM64_F277W A5 1 476 2048 64
NRCA5_GRISM256_F356W A5 1 380 2048 256
NRCA5_GRISM128_F356W A5 1 444 2048 128
NRCA5_GRISM64_F356W A5 1 476 2048 64
NRCA5_GRISM256_F444W A5 1 380 2048 256
NRCA5_GRISM128_F444W A5 1 444 2048 128
NRCA5_GRISM64_F444W A5 1 476 2048 64
NRCA5_GRISM_F322W2 A5 1 1 2048 2048
NRCA5_GRISM_F277W A5 1 1 2048 2048
NRCA5_GRISM_F356W A5 1 1 2048 2048
NRCA5_GRISM_F444W A5 1 1 2048 2048
NRCA5_TAGRISMTS32 A5 782 5 32 32
NRCA2_MASK210R A2 392 224 640 640
NRCA5_MASK335R A5 1238 1502 320 320
NRCA5_MASK430R A5 916 1502 320 320
NRCA4_MASKSWB A5 171 236 640 640
NRCA4_MASKSWB_NARROW A4 171 236 640 640
NRCA4_MASKSWB_F182M A4 171 236 640 640
NRCA4_MASKSWB_F187N A4 171 236 640 640
NRCA4_MASKSWB_F210M A4 171 236 640 640
NRCA4_MASKSWB_F212N A4 171 236 640 640
NRCA4_MASKSWB_F200W A4 171 236 640 640
NRCA5_MASKLWB A5 275 1508 320 320
NRCA5_MASKLWB_NARROW A5 275 1508 320 320
NRCA5_MASKLWB_F250M A5 275 1508 320 320
NRCA5_MASKLWB_F300M A5 275 1508 320 320
NRCA5_MASKLWB_F277W A5 275 1508 320 320
NRCA5_MASKLWB_F335M A5 275 1508 320 320
NRCA5_MASKLWB_F360M A5 275 1508 320 320
NRCA5_MASKLWB_F356W A5 275 1508 320 320
NRCA5_MASKLWB_F410M A5 275 1508 320 320
NRCA5_MASKLWB_F430M A5 275 1508 320 320
NRCA5_MASKLWB_F460M A5 275 1508 320 320
NRCA5_MASKLWB_F480M A5 275 1508 320 320
NRCA5_MASKLWB_F444W A5 275 1508 320 320
NRCA2_FULL_MASK210R A2 1 1 2048 2048
NRCA5_FULL_MASK335R A5 1 1 2048 2048
NRCA5_FULL_MASK430R A5 1 1 2048 2048
NRCA4_FULL_MASKSWB A4 1 1 2048 2048
NRCA4_FULL_MASKSWB_F182M A4 1 1 2048 2048
NRCA4_FULL_MASKSWB_F187N A4 1 1 2048 2048
NRCA4_FULL_MASKSWB_F210M A4 1 1 2048 2048
NRCA4_FULL_MASKSWB_F212N A4 1 1 2048 2048
NRCA4_FULL_MASKSWB_F200W A4 1 1 2048 2048
NRCA5_FULL_MASKLWB A5 1 1 2048 2048
NRCA5_FULL_MASKLWB_F250M A5 1 1 2048 2048
NRCA5_FULL_MASKLWB_F300M A5 1 1 2048 2048
NRCA5_FULL_MASKLWB_F277W A5 1 1 2048 2048
NRCA5_FULL_MASKLWB_F335M A5 1 1 2048 2048
NRCA5_FULL_MASKLWB_F360M A5 1 1 2048 2048
NRCA5_FULL_MASKLWB_F356W A5 1 1 2048 2048
NRCA5_FULL_MASKLWB_F410M A5 1 1 2048 2048
NRCA5_FULL_MASKLWB_F430M A5 1 1 2048 2048
NRCA5_FULL_MASKLWB_F460M A5 1 1 2048 2048
NRCA5_FULL_MASKLWB_F480M A5 1 1 2048 2048
NRCA5_FULL_MASKLWB_F444W A5 1 1 2048 2048
NRCA2_TAMASK210R A2 405 710 128 128
NRCA5_TAMASK335R A5 1527 1519 64 64
NRCA5_TAMASK430R A5 1204 1519 64 64
NRCA4_TAMASKSWB A4 758 724 128 128
NRCA5_TAMASKLWB A5 281 1526 64 64
NRCA5_TAMASKLWBL A5 562 1527 64 64
NRCA4_TAMASKSWBS A4 103 723 128 128
