# Filter                 Sun (Vega)  Sun (AB)    Sun (ST)  app (Vega)   app (AB)    app (ST)     AB(Vega)    ST(Vega)     pivot   Source
NIRCAM_F070W              4.2922      4.5557      5.1034    -27.2799    -27.0165    -26.4687      0.2635      0.8113      0.7046  https://jwst-docs.stsci.edu/display/JTI/NIRCam+Filters                                    
NIRCAM_F090W              4.0156      4.5034      5.5887    -27.5565    -27.0687    -25.9835      0.4878      1.5730      0.9025  https://jwst-docs.stsci.edu/display/JTI/NIRCam+Filters                                    
NIRCAM_F115W              3.7736      4.5270      6.1465    -27.7986    -27.0451    -25.4256      0.7535      2.3729      1.1543  https://jwst-docs.stsci.edu/display/JTI/NIRCam+Filters                                    
NIRCAM_F140M              3.4775      4.5568      6.6036    -28.0947    -27.0153    -24.9685      1.0793      3.1262      1.4053  https://jwst-docs.stsci.edu/display/JTI/NIRCam+Filters                                    
NIRCAM_F150W              3.4081      4.5897      6.7792    -28.1640    -26.9824    -24.7929      1.1816      3.3711      1.5007  https://jwst-docs.stsci.edu/display/JTI/NIRCam+Filters                                    
NIRCAM_F150W2             3.5010      4.7036      7.1106    -28.0712    -26.8685    -24.4616      1.2027      3.6096      1.6588  https://jwst-docs.stsci.edu/display/JTI/NIRCam+Filters                                    
NIRCAM_F162M              3.3188      4.6468      7.0120    -28.2533    -26.9253    -24.5601      1.3280      3.6932      1.6272  https://jwst-docs.stsci.edu/display/JTI/NIRCam+Filters                                    
NIRCAM_F164N              3.2898      4.6578      7.0459    -28.2823    -26.9144    -24.5262      1.3679      3.7561      1.6445  https://jwst-docs.stsci.edu/display/JTI/NIRCam+Filters                                    
NIRCAM_F182M              3.2800      4.8142      7.4523    -28.2921    -26.7580    -24.1198      1.5342      4.1723      1.8452  https://jwst-docs.stsci.edu/display/JTI/NIRCam+Filters                                    
NIRCAM_F187N              3.2469      4.8472      7.5189    -28.3252    -26.7249    -24.0533      1.6003      4.2720      1.8739  https://jwst-docs.stsci.edu/display/JTI/NIRCam+Filters                                    
NIRCAM_F200W              3.2775      4.9297      7.7305    -28.2946    -26.6424    -23.8416      1.6523      4.4530      1.9886  https://jwst-docs.stsci.edu/display/JTI/NIRCam+Filters                                    
NIRCAM_F210M              3.2743      5.0309      7.9452    -28.2978    -26.5413    -23.6269      1.7566      4.6709      2.0955  https://jwst-docs.stsci.edu/display/JTI/NIRCam+Filters                                    
NIRCAM_F212N              3.2763      5.0539      7.9949    -28.2958    -26.5182    -23.5772      1.7776      4.7186      2.1213  https://jwst-docs.stsci.edu/display/JTI/NIRCam+Filters                                    
NIRCAM_F250M              3.2744      5.3671      8.6676    -28.2977    -26.2050    -22.9045      2.0927      5.3931      2.5032  https://jwst-docs.stsci.edu/display/JTI/NIRCam+Filters                                    
NIRCAM_F277W              3.2636      5.5290      9.0429    -28.3085    -26.0431    -22.5292      2.2654      5.7793      2.7618  https://jwst-docs.stsci.edu/display/JTI/NIRCam+Filters                                    
NIRCAM_F300M              3.2600      5.6894      9.3751    -28.3122    -25.8827    -22.1970      2.4294      6.1152      2.9892  https://jwst-docs.stsci.edu/display/JTI/NIRCam+Filters                                    
NIRCAM_F322W2             3.2618      5.7711      9.6264    -28.3103    -25.8010    -21.9457      2.5093      6.3646      3.2320  https://jwst-docs.stsci.edu/display/JTI/NIRCam+Filters                                    
NIRCAM_F323N              3.2630      5.8455      9.7041    -28.3092    -25.7266    -21.8680      2.5825      6.4412      3.2369  https://jwst-docs.stsci.edu/display/JTI/NIRCam+Filters                                    
NIRCAM_F335M              3.2597      5.9178      9.8588    -28.3124    -25.6543    -21.7133      2.6581      6.5991      3.3621  https://jwst-docs.stsci.edu/display/JTI/NIRCam+Filters                                    
NIRCAM_F356W              3.2599      6.0231     10.0933    -28.3122    -25.5491    -21.4788      2.7631      6.8334      3.5684  https://jwst-docs.stsci.edu/display/JTI/NIRCam+Filters                                    
NIRCAM_F360M              3.2611      6.0690     10.1730    -28.3111    -25.5032    -21.3992      2.8079      6.9119      3.6242  https://jwst-docs.stsci.edu/display/JTI/NIRCam+Filters                                    
NIRCAM_F405N              3.2420      6.2998     10.6459    -28.3301    -25.2723    -20.9262      3.0578      7.4039      4.0517  https://jwst-docs.stsci.edu/display/JTI/NIRCam+Filters                                    
NIRCAM_F410M              3.2577      6.3063     10.6688    -28.3145    -25.2658    -20.9034      3.0487      7.4111      4.0822  https://jwst-docs.stsci.edu/display/JTI/NIRCam+Filters                                    
NIRCAM_F430M              3.2664      6.4133     10.8791    -28.3058    -25.1588    -20.6930      3.1469      7.6127      4.2813  https://jwst-docs.stsci.edu/display/JTI/NIRCam+Filters                                    
NIRCAM_F444W              3.2742      6.4589     10.9861    -28.2979    -25.1132    -20.5860      3.1847      7.7119      4.4040  https://jwst-docs.stsci.edu/display/JTI/NIRCam+Filters                                    
