Wavelength Width AperCor
2.35300429184549 0.06 3.2804233298639005
2.35300429184549 0.18 1.5956871253843363
2.35300429184549 0.3 1.3096672832581258
2.35300429184549 0.42 1.220952126207002
2.35300429184549 0.54 1.199629571556532
2.35300429184549 0.6599999999999999 1.1545361029265453
2.35300429184549 0.78 1.1390934202238383
2.35300429184549 0.8999999999999999 1.1292880885927308
2.35300429184549 1.02 1.116115700190966
2.35300429184549 1.1400000000000001 1.1041205577073447
2.35300429184549 1.26 1.0958737543860673
2.35300429184549 1.38 1.085294764421238
2.35300429184549 1.5 1.076740809395796
2.35300429184549 1.62 1.0717243955344669
2.35300429184549 1.74 1.0671059871357957
2.35300429184549 1.8599999999999999 1.0626306975905644
2.35300429184549 1.98 1.0589805382910893
2.35300429184549 2.1 1.055649677346656
2.35300429184549 2.22 1.0523835987851353
2.35300429184549 2.34 1.0501510288433868
2.35300429184549 2.46 1.0476102553961018
2.35300429184549 2.58 1.0453169164192522
2.35300429184549 2.6999999999999997 1.043821635631468
2.35300429184549 2.82 1.041612823128878
2.35300429184549 2.94 1.0388853495484565
2.35300429184549 3.06 1.0375488834274071
2.35300429184549 3.18 1.036252773549798
2.35300429184549 3.3 1.034660767431148
2.35300429184549 3.42 1.0331883647823457
2.35300429184549 3.54 1.0320781433740194
2.35300429184549 3.6599999999999997 1.0306776219707416
2.35300429184549 3.78 1.0297245719049413
2.35300429184549 3.9 1.0286254579728296
2.35300429184549 4.02 1.0275757626618653
2.35300429184549 4.14 1.026910045907947
2.35300429184549 4.26 1.0259941696251622
2.35300429184549 4.38 1.0247993302194598
2.35300429184549 4.499999999999999 1.0239555253862134
2.35300429184549 4.619999999999999 1.0234371410348777
2.35300429184549 4.739999999999999 1.0227026154710668
2.35300429184549 4.859999999999999 1.0220399655739918
2.35300429184549 4.9799999999999995 1.0215141460836121
2.35300429184549 5.1 1.0208640767723873
2.35300429184549 5.22 1.0203054558613263
2.35300429184549 5.339999999999999 1.0198568601196276
2.35300429184549 5.459999999999999 1.019387347605836
2.35300429184549 5.579999999999999 1.0190469853479909
2.35300429184549 5.699999999999999 1.0187058274002816
2.35300429184549 5.819999999999999 1.018129875504038
2.35300429184549 5.9399999999999995 1.017626065250629
2.35300429184549 6.06 1.0174107471975362
2.35300429184549 6.18 1.0171319867165547
2.35300429184549 6.3 1.01683297262895
2.35300429184549 6.419999999999999 1.0165733799159864
2.35300429184549 6.539999999999999 1.0162954512508315
2.35300429184549 6.659999999999999 1.0159465837809214
2.35300429184549 6.779999999999999 1.0157768093571247
2.35300429184549 6.8999999999999995 1.0155851047270394
2.35300429184549 7.02 1.0154017681488978
2.35300429184549 7.14 1.0152473624294902
2.35300429184549 7.259999999999999 1.0150139157524487
2.35300429184549 7.379999999999999 1.0147066044424555
2.35300429184549 7.499999999999999 1.0145732574046897
2.35300429184549 7.619999999999999 1.014454640141824
2.35300429184549 7.739999999999999 1.0143131334796174
2.35300429184549 7.859999999999999 1.014173146957099
2.35300429184549 7.9799999999999995 1.0140183923905692
2.35300429184549 8.1 1.0137635824288735
2.35300429184549 8.22 1.0136419298882042
2.35300429184549 8.34 1.013544469570874
2.35300429184549 8.46 1.0134168362242233
2.35300429184549 8.58 1.013297995050167
2.35300429184549 8.700000000000001 1.013169009313926
2.35300429184549 8.82 1.0129652922637633
2.35300429184549 8.94 1.012836819232526
2.35300429184549 9.06 1.012731263287409
2.35300429184549 9.18 1.0126359152760254
2.35300429184549 9.3 1.0125285418108776
2.35300429184549 9.42 1.0124029023497054
2.35300429184549 9.540000000000001 1.012183628916146
2.35300429184549 9.66 1.012033286816966
2.35300429184549 9.78 1.011937132647884
2.35300429184549 9.9 1.0118308512125462
2.35300429184549 10.02 1.0116974677270063
2.35300429184549 10.14 1.0115728519225329
2.35300429184549 10.26 1.011439539479273
2.35300429184549 10.38 1.0112869910606392
2.35300429184549 10.5 1.0111782753833536
2.35300429184549 10.62 1.0110787736276727
2.35300429184549 10.74 1.0109821946584017
2.35300429184549 10.86 1.0108626128654414
2.35300429184549 10.98 1.0106936073973671
2.35300429184549 11.1 1.0104925835697505
2.35300429184549 11.22 1.010391855008598
2.35300429184549 11.34 1.0102966216935294
2.35300429184549 11.46 1.0101746190364462
2.35300429184549 11.58 1.0100561976445095
2.35300429184549 11.7 1.0099526142008317
2.35300429184549 11.82 1.0097997909097762
2.35300429184549 11.94 1.0097013148198435
2.35300429184549 12.06 1.009608198409901
2.35300429184549 12.18 1.0095238344862072
2.35300429184549 12.3 1.0094316458268684
2.35300429184549 12.42 1.0093165369419346
2.35300429184549 12.540000000000001 1.0091301397244758
2.35300429184549 12.66 1.009040990374447
2.35300429184549 12.78 1.00896284672031
2.35300429184549 12.9 1.008869860676217
2.35300429184549 13.02 1.0087778796961304
2.35300429184549 13.14 1.0087083280499833
2.35300429184549 13.26 1.0085768157499535
2.35300429184549 13.38 1.0084958864003182
2.35300429184549 13.5 1.0084280643485084
2.35300429184549 13.62 1.0083670172476018
2.35300429184549 13.74 1.008306796529907
2.35300429184549 13.86 1.0082429191988431
2.35300429184549 13.98 1.008107398646157
2.35300429184549 14.1 1.0080193835668383
2.35300429184549 14.22 1.0079696981085724
2.35300429184549 14.34 1.007916941168405
2.35300429184549 14.459999999999999 1.0078600420180037
2.35300429184549 14.58 1.0078154789773381
2.35300429184549 14.7 1.0077263186936416
2.35300429184549 14.82 1.007637940869123
2.35300429184549 14.94 1.0075977231475952
2.35300429184549 15.06 1.0075637302244396
2.35300429184549 15.18 1.007522543812728
